RBjmWtBKwt8nrHDyuxb6NugFENICS;no shift in voltage dependence of activation;no shift in voltag depend of activ;r bjm wt b kwt8nr h dyuxb6 nug;no shift in voltage dependence of activation@en-us;No shift in voltag depend of activation@en-us
R7J2tm52qaQH1SwgcywsIqQFENICS;overal normal function with respect of biophys channel activ;overall normal function with respect of biophysical channel activity@en-us;overall normal function with respect of biophysical channel activity;Overal normal function with respect of biophys channel activity@en-us;r7 j2tm52qa q h1 swgcyw iq q;r7 j2tm52qa q h1 swgcyws iq q
R8LbtdmDXmdcSOQY3QnvrYfFENICS;hodgin-huxley-modeling;hodgin-huxley-model;hodgin-huxley-modeling@en-us;r8 lbtdm d xmdc s o q y3 qnvr yf
RD13eaB3fwGp3eE77vJf9J7FENICS;increas of peak current;Increas of peak current@en-us;increase of peak current@en-us;r d13ea b3fw gp3e e77v jf9 j7;increase of peak current
R80ryKpw9TZE2fSjbz1ykJ4FENICS;r80ri kpw9 t z e2f sjbz1yk j4;r80ry kpw9 t z e2f sjbz1yk j4;mild impair or slow in fast inactiv (tau inactivation);mild impairment or slowing in fast inactivation (tau inactivation)@en-us;mild impairment or slowing in fast inactivation (tau inactivation);Mild impair or slow in fast inactiv (tau inactivation)@en-us
R7YvyEoR5sDyyQqL5j9dQoKFENICS;r7 yvy eo r5s dyy qq l5j9d qo k;effect on persist current;effect on persistent current;effect on persistent current@en-us;Effect on persist current@en-us;r7 yvi eo r5s dyy qq l5j9d qo k
RMPJkbO62zkkObPHsJZpnfFENICS;Decreas in persist current@en-us;decrease in persistent current;decreas in persist current;decrease in persistent current@en-us;r m p jkb o62zkk ob p hs j zpnf
R8KZofOQE10FYr0M6IpoJ72FENICS;Overal loss-of-funct effect due to single-cel neuron properties@en-us;overall loss-of-function effect due to single-cell neuronal properties;overal loss-of-funct effect due to single-cel neuron properti;r8 k zof o q e10 f yr0 m6 ipo j72;overall loss-of-function effect due to single-cell neuronal properties@en-us
RDGPKWNIULbpyxm7b0wIuiiFENICS;decreas in slope of slow inactiv;decrease in slope of slow inactivation;Decreas in slope of slow inactivation@en-us;decrease in slope of slow inactivation@en-us;r d g p k w n i u lbpyxm7b0w iuii
Rbfc13foQ6CEHIWiXh434pFENICS;Effect on rate of fast inactiv (tau inactivation)@en-us;effect on rate of fast inactiv (tau inactivation);effect on rate of fast inactivation (tau inactivation);effect on rate of fast inactivation (tau inactivation)@en-us;rbfc13fo q6 c e h i wi xh434p
R9vNK7NGPSBEp5FQ7nMB7Z2FENICS;decreas of subthreshold current;decrease of subthreshold current@en-us;Decreas of subthreshold current@en-us;decrease of subthreshold current;r9v n k7 n g p s b ep5 f q7n m b7 z2
R8tC7DUKEOwvWvpkJDURZZkFENICS;r8t c7 d u k e owv wvpk j d u r z zk;effect on rate of slow inactivation (tau inactivation);effect on rate of slow inactiv (tau inactivation);effect on rate of slow inactivation (tau inactivation)@en-us;Effect on rate of slow inactiv (tau inactivation)@en-us
R9ZUbOgKjGPPQ9CPTMGPh9fFENICS;severe deceleration or slowing in recovery from fast inactivation;sever deceler or slow in recoveri from fast inactiv;Sever deceler or slow in recoveri from fast inactivation@en-us;severe deceleration or slowing in recovery from fast inactivation@en-us;r9 z ub og kj g p p q9 c p t m g ph9f
R768x3xvHhzBT7WwmpcMUaPFENICS;overal mix or unclear function effect due to neuron network properti;Overal mix or unclear function effect due to neuron network properties@en-us;overall mixed or unclear functional effect due to neuronal network properties@en-us;overall mixed or unclear functional effect due to neuronal network properties;r768x3xv hhz b t7 wwmpc m ua p
RYWQSm4huaAno89B4WFQZHFENICS;Moder decreas in peak current@en-us;r y w q sm4hua ano89 b4 w f q z h;moderate decrease in peak current@en-us;moderate decrease in peak current;moder decreas in peak current
Rwd2Okf7Sd1xsETaBGsjeSFENICS;effect on rate of deactivation@en-us;effect on rate of deactivation;rwd2 okf7 sd1xs e ta b gsje s;effect on rate of deactiv
RfJRsrblTGfIJ44dw2SyYJFENICS;severe hyperpolarizing shift of voltage dependence of fast inactivation (left shift);rf j rsrbl t gf i j44dw2 sy y j;severe hyperpolarizing shift of voltage dependence of fast inactivation (left shift)@en-us;Sever hyperpolar shift of voltag depend of fast inactiv (left shift)@en-us;sever hyperpolar shift of voltag depend of fast inactiv (left shift)
RWsIdPK9ef5X7RMzIebmPQFENICS;r ws id p k9ef5 x7 r mz iebm p q;effect on use depend;effect on use dependence@en-us;effect on use dependence
RC3cyZOGS7bJrI8gBqDaHzoFENICS;moder depolar shift of voltag depend of activ (right shift);r c3cy z o g s7b jr i8g bq da hzo;r c3ci z o g s7b jr i8g bq da hzo;Moder depolar shift of voltag depend of activ (right shift)@en-us;moderate depolarizing shift of voltage dependence of activation (right shift);moderate depolarizing shift of voltage dependence of activation (right shift)@en-us
R81aXvSVSyOYsrO0hq6JLkYFENICS;impairment or slowing of rate in slow inactivation (tau inactivation);Impairment or slow of rate in slow inactiv (tau inactivation)@en-us;impair or slow of rate in slow inactiv (tau inactivation);impairment or slowing of rate in slow inactivation (tau inactivation)@en-us;r81a xv s v sy o ysr o0hq6 j lk y
RXhKs55YyYQdgiLKwckPRgFENICS;deceleration or slowing of recovery from fast inactivation;Deceler or slow of recoveri from fast inactivation@en-us;deceler or slow of recoveri from fast inactiv;r xh ks55 yy y qdgi l kwck p rg;deceleration or slowing of recovery from fast inactivation@en-us
R9wmRpum1ZjBHKOc0cthMrvFENICS;r9wm rpum1 zj b h k oc0cth mrv;depolarizing shift of voltage dependence of activation (right shift)@en-us;Depolar shift of voltag depend of activ (right shift)@en-us;depolar shift of voltag depend of activ (right shift);depolarizing shift of voltage dependence of activation (right shift)
R8CM4SZ0Of9GemoYjDN3wjjFENICS;overal gain-of-funct effect due to single-cel neuron properti;overall gain-of-function effect due to single-cell neuronal properties;Overal gain-of-funct effect due to single-cel neuron properties@en-us;overall gain-of-function effect due to single-cell neuronal properties@en-us;r8 c m4 s z0 of9 gemo yj d n3wjj
R6Gg6Rc5Xl21OllEzn2N3hFENICS;depolarizing shift of voltage dependence of slow inactivation (right shift);depolarizing shift of voltage dependence of slow inactivation (right shift)@en-us;depolar shift of voltag depend of slow inactiv (right shift);Depolar shift of voltag depend of slow inactiv (right shift)@en-us;r6 gg6 rc5 xl21 oll ezn2 n3h
RBKM326sr6YtbqsamE9pEtfFENICS;r b k m326sr6 ytbqsam e9p etf;normal fast inactiv (tau inactivation);Normal fast inactiv (tau inactivation)@en-us;normal fast inactivation (tau inactivation);normal fast inactivation (tau inactivation)@en-us
